date,cash,holdings_value,total_value,NVDA_shares
2023-03-16,4731.322061538696,7279.185104370117,12010.507165908813,285.0
2023-03-17,4731.322061538696,7331.625108718872,12062.947170257568,285.0
2023-03-20,4731.322061538696,7381.499891281129,12112.821952819824,285.0
2023-03-21,4731.322061538696,7466.71483039856,12198.036891937256,285.0
2023-03-22,4731.322061538696,7543.380117416382,12274.702178955078,285.0
2023-03-23,4731.322061538696,7749.434995651245,12480.757057189941,285.0
2023-03-24,4731.322061538696,7632.014808654785,12363.336870193481,285.0
2023-03-27,4731.322061538696,7561.335039138794,12292.65710067749,285.0
2023-03-28,4731.322061538696,7526.849956512451,12258.172018051147,285.0
2023-03-29,4731.322061538696,7690.439786911011,12421.761848449707,285.0
2023-03-30,4731.322061538696,7804.154834747314,12535.47689628601,285.0
2023-03-31,4731.322061538696,7916.445121765137,12647.767183303833,285.0
2023-04-03,4731.322061538696,7970.025043487549,12701.347105026245,285.0
2023-04-04,4731.322061538696,7824.104747772217,12555.426809310913,285.0
2023-04-05,4731.322061538696,7661.085147857666,12392.407209396362,285.0
2023-04-06,4731.322061538696,7705.54518699646,12436.867248535156,285.0
2023-04-10,4731.322061538696,7860.015134811401,12591.337196350098,285.0
2023-04-11,4731.322061538696,7743.16517829895,12474.487239837646,285.0
2023-04-12,4731.322061538696,7551.075239181519,12282.397300720215,285.0
2023-04-13,4731.322061538696,7541.95481300354,12273.276874542236,285.0
2023-04-14,4731.322061538696,7626.029834747314,12357.35189628601,285.0
2023-04-17,12426.892292022705,0.0,12426.892292022705,0.0
2023-04-18,12426.892292022705,0.0,12426.892292022705,0.0
2023-04-19,6226.210346221925,6200.68194580078,12426.892292022705,222.0
2023-04-20,6226.210346221925,6017.088020324706,12243.29836654663,222.0
2023-04-21,6226.210346221925,6020.417884826659,12246.628231048584,222.0
2023-04-24,6226.210346221925,6003.323959350586,12229.53430557251,222.0
2023-04-25,12051.712173461916,0.0,12051.712173461916,0.0
2023-04-26,12051.712173461916,0.0,12051.712173461916,0.0
2023-04-27,12051.712173461916,0.0,12051.712173461916,0.0
2023-04-28,12051.712173461916,0.0,12051.712173461916,0.0
2023-05-01,6038.432205200197,6013.279968261719,12051.712173461916,208.0
2023-05-02,6038.432205200197,5867.6798095703125,11906.11201477051,208.0
2023-05-03,6038.432205200197,5782.816009521484,11821.248214721682,208.0
2023-05-04,6038.432205200197,5732.896057128906,11771.328262329103,208.0
2023-05-05,6038.432205200197,5965.4400634765625,12003.87226867676,208.0
2023-05-08,6038.432205200197,6063.407806396484,12101.840011596682,208.0
2023-05-09,6038.432205200197,5942.767822265624,11981.20002746582,208.0
2023-05-10,6038.432205200197,6008.080047607423,12046.51225280762,208.0
2023-05-11,6038.432205200197,5944.223815917969,11982.656021118166,208.0
2023-05-12,6038.432205200197,5894.720031738281,11933.152236938478,208.0
2023-05-15,6038.432205200197,6022.223815917969,12060.656021118166,208.0
2023-05-16,6038.432205200197,6076.303863525391,12114.736068725588,208.0
2023-05-17,6038.432205200197,6277.023895263672,12315.456100463869,208.0
2023-05-18,6038.432205200197,6589.023895263672,12627.456100463869,208.0
2023-05-19,6038.432205200197,6502.9119873046875,12541.344192504885,208.0
2023-05-22,6038.432205200197,6484.608123779297,12523.040328979494,208.0
2023-05-23,6038.432205200197,6383.103942871095,12421.536148071293,208.0
2023-05-24,6038.432205200197,6351.904022216797,12390.336227416994,208.0
2023-05-25,6038.432205200197,7899.839904785156,13938.272109985353,208.0
2023-05-26,6038.432205200197,8100.767822265625,14139.200027465822,208.0
2023-05-30,6038.432205200197,8343.088012695314,14381.520217895511,208.0
